region,household_size,household_income,electricity_use,electricity_cost,ng_use,ng_cost,total_energy_use,total_energy_cost
SOUTH,3,16,45161.63,1705.67,483.16,795.96,93078.70,2501.63
SOUTH,4,12,63897.49,1959.91,319.40,382.80,96501.76,2342.71
SOUTH,2,14,41539.11,1350.72,0.00,0.00,41539.11,1350.72
WEST,3,12,28817.86,982.63,0.00,0.00,54534.51,1411.64
SOUTH,1,16,29827.15,1312.63,175.30,206.97,47820.13,1519.60
SOUTH,3,13,66675.11,2840.90,0.00,0.00,66675.11,2840.90
SOUTH,4,14,110079.83,4631.21,0.00,0.00,110079.83,4631.21
SOUTH,1,12,23740.66,910.86,0.00,0.00,25403.11,983.77
MIDWEST,1,8,28672.69,1411.40,923.88,848.34,122669.45,2259.74
WEST,3,15,46856.71,2166.27,471.70,857.35,95433.39,3023.62
SOUTH,1,9,15110.08,671.43,232.17,453.42,38190.61,1124.85
NE,1,14,27849.24,1109.93,0.00,0.00,27849.24,1109.93
WEST,6,16,47541.41,3418.24,861.73,1215.88,133684.22,4634.12
MIDWEST,2,13,28173.24,933.68,1077.76,654.31,136757.59,1587.99
MIDWEST,3,16,54491.04,1987.36,653.45,593.66,121744.80,2581.02
WEST,1,8,18568.12,638.74,889.27,776.11,97088.69,1414.85
SOUTH,6,8,65053.50,2048.30,476.39,750.64,112755.60,2798.94
MIDWEST,2,15,41204.66,1061.59,496.44,449.00,91892.55,1510.59
NE,2,13,37663.20,2428.26,0.00,0.00,111602.18,3662.04
SOUTH,1,6,14291.24,449.71,187.49,339.31,33582.70,789.02
WEST,2,16,73259.62,1419.07,1113.45,1231.85,180080.08,2650.92
SOUTH,1,5,26084.79,1051.25,419.14,625.25,68786.87,1676.50
MIDWEST,3,16,93946.88,2647.51,0.00,0.00,93946.88,2647.51
MIDWEST,2,12,19167.49,652.38,783.29,523.50,99850.47,1175.88
WEST,3,13,25410.79,2192.99,0.00,0.00,25410.79,2192.99
SOUTH,1,11,51860.62,1605.55,0.00,0.00,61422.31,1812.75
NE,1,13,11418.60,809.09,354.93,664.47,47974.08,1473.56
WEST,7,16,51270.39,1644.55,0.00,0.00,51270.39,1644.55
SOUTH,2,16,27092.79,966.19,921.55,1027.84,116885.86,1994.03
MIDWEST,2,16,50334.93,1701.16,1358.86,1016.16,189050.39,2717.32
MIDWEST,1,6,4287.87,394.50,1683.35,1024.21,175497.00,1418.71
SOUTH,1,13,19461.09,718.40,0.00,0.00,19461.09,718.40
NE,6,13,31047.45,1599.11,0.00,0.00,31047.45,1599.11
SOUTH,4,4,23521.64,758.13,0.00,0.00,23521.64,758.13
SOUTH,4,11,48218.70,1766.52,0.00,0.00,48218.70,1766.52
WEST,4,14,42601.46,1279.93,330.32,405.27,78221.17,1685.20
WEST,2,8,38046.35,1068.69,0.00,0.00,38046.35,1068.69
SOUTH,2,14,56395.01,1619.68,115.77,293.48,68212.08,1913.16
MIDWEST,2,14,36407.62,1239.86,594.48,722.02,98201.01,1961.88
SOUTH,3,14,28773.53,1065.61,361.06,487.29,64399.17,1552.90
MIDWEST,2,8,62937.84,2006.66,0.00,0.00,101744.54,2501.44
WEST,2,13,58986.20,1715.33,0.00,0.00,58986.20,1715.33
WEST,3,14,57890.88,3626.97,1866.91,2057.80,239979.44,5684.77
WEST,2,14,33289.67,1047.65,0.00,0.00,33289.67,1047.65
SOUTH,2,15,65503.00,1717.09,519.75,622.20,118525.43,2339.29
SOUTH,2,15,17449.37,662.25,206.76,381.01,38782.72,1043.26
NE,2,15,18350.96,1075.66,0.00,0.00,56425.92,1717.04
MIDWEST,2,15,65849.70,2725.89,2246.46,1181.32,291282.70,3907.21
MIDWEST,3,15,51370.87,2132.67,0.39,0.37,51410.43,2133.04
SOUTH,3,13,24793.31,795.70,0.00,0.00,24793.31,795.70
NE,2,14,38150.99,1515.39,0.00,0.00,133420.20,3076.80
WEST,2,7,36060.15,1056.49,412.51,283.28,74312.06,1339.77
MIDWEST,1,6,8684.77,241.42,729.17,481.38,82316.20,722.80
MIDWEST,2,7,140131.47,3912.24,0.00,0.00,140131.47,3912.24
NE,1,11,21245.23,804.26,194.50,245.98,41329.36,1050.24
SOUTH,2,3,66709.70,2220.79,0.00,0.00,71252.10,2399.60
SOUTH,1,2,7721.25,461.19,0.00,0.00,7721.25,461.19
MIDWEST,4,14,21224.85,746.47,1010.80,625.91,122319.61,1372.38
SOUTH,1,13,18093.35,668.05,38.02,63.88,22007.07,731.93
WEST,1,10,12797.04,1116.56,105.44,472.89,22762.35,1589.45
SOUTH,1,11,16117.54,684.80,0.00,0.00,16117.54,684.80
SOUTH,2,1,22247.07,846.55,0.00,0.00,22247.07,846.55
SOUTH,2,4,44366.39,1450.84,0.00,0.00,45213.30,1470.83
WEST,2,7,15629.47,643.17,1084.47,564.60,106730.82,1207.77
MIDWEST,1,6,11039.83,431.33,686.14,456.28,82478.58,887.61
SOUTH,3,15,99950.27,3641.52,0.00,0.00,104625.33,3733.98
SOUTH,1,5,20687.18,772.14,0.00,0.00,20687.18,772.14
SOUTH,1,15,30389.12,945.54,40.02,51.94,34427.83,997.48
SOUTH,2,16,84949.95,2699.38,451.25,502.77,131677.17,3202.15
WEST,2,15,24315.18,725.96,845.38,494.50,99145.99,1220.46
WEST,2,1,33202.88,1060.36,0.00,0.00,52071.37,1499.64
SOUTH,2,12,47236.91,1441.04,0.00,0.00,47236.91,1441.04
WEST,2,6,12833.35,486.71,0.00,0.00,44096.17,949.28
WEST,3,11,59903.20,1261.56,0.00,0.00,59903.20,1261.56
MIDWEST,3,13,36317.42,1332.66,723.76,765.89,111620.53,2098.55
WEST,1,10,21010.35,794.83,775.23,510.12,85859.25,1304.95
WEST,2,14,40087.02,1271.24,794.85,608.46,106170.01,1879.70
NE,2,7,30648.89,539.69,0.00,0.00,97860.99,1722.43
WEST,1,4,14160.58,539.20,102.01,110.69,24684.19,649.89
MIDWEST,6,13,37339.44,2016.60,0.00,0.00,158996.17,4320.91
MIDWEST,1,7,14201.43,760.84,516.08,509.89,67091.45,1270.73
WEST,4,14,14684.12,1238.31,195.18,342.69,34367.75,1581.00
MIDWEST,2,16,51143.93,2307.54,926.24,990.81,147023.04,3298.35
MIDWEST,3,15,26980.70,1235.26,278.20,346.07,55409.20,1581.33
NE,3,16,46014.47,2822.58,985.77,1540.65,147320.77,4363.23
WEST,3,9,18639.26,596.73,330.30,330.94,51457.08,927.67
WEST,3,13,12238.11,471.19,1583.76,862.79,159129.86,1333.98
SOUTH,2,13,132279.45,4017.52,0.00,0.00,164824.59,4721.42
NE,2,11,10771.15,862.22,248.48,382.29,36207.64,1244.51
NE,2,13,36133.95,1395.08,0.00,0.00,74656.57,1955.35
SOUTH,2,14,28396.24,1093.43,589.30,666.78,88248.56,1760.21
SOUTH,1,14,29825.95,1442.32,0.00,0.00,75626.80,2583.92
NE,1,8,14247.92,593.24,885.34,715.06,103088.89,1308.30
SOUTH,3,13,47441.18,1914.53,154.60,331.26,63024.77,2245.79
SOUTH,4,15,58241.38,1876.78,636.91,769.36,123336.99,2645.88
MIDWEST,4,14,33199.77,1158.97,870.79,669.20,122544.49,1828.17
MIDWEST,3,15,18356.74,988.02,678.16,616.97,88437.18,1604.99
WEST,3,8,31644.52,1815.51,489.14,828.53,81624.32,2644.04
NE,3,2,8579.97,2036.29,0.00,0.00,8579.97,2036.29
NE,3,16,64004.73,4159.73,0.00,0.00,204219.72,6659.05
WEST,2,13,61712.63,2233.86,0.00,0.00,62356.12,2252.75
WEST,6,11,74996.75,1252.04,0.00,0.00,74996.75,1252.04
SOUTH,2,13,32448.68,955.85,520.63,717.59,84947.56,1673.44
MIDWEST,5,11,41100.28,1606.97,928.15,630.66,129848.47,2237.63
WEST,1,9,10927.55,511.15,0.00,0.00,10927.55,511.15
NE,2,14,20039.99,1504.58,670.80,934.02,87654.08,2438.60
SOUTH,1,14,65756.30,2138.19,0.00,0.00,65756.30,2138.19
NE,1,13,21601.29,1177.43,1213.17,1024.19,147246.25,2201.62
WEST,4,16,58122.80,1882.38,783.41,592.10,128688.73,2474.48
SOUTH,3,14,50304.96,1665.62,6.00,9.60,50921.31,1675.22
WEST,3,12,62332.47,2290.96,0.00,0.00,62332.47,2290.96
NE,2,16,6227.64,637.04,378.66,1390.36,45291.99,2027.40
SOUTH,5,12,56538.79,1890.21,0.00,0.00,56538.79,1890.21
NE,1,4,13349.85,630.60,0.00,0.00,145138.68,2800.90
SOUTH,2,7,30088.06,1295.46,0.00,0.00,30088.06,1295.46
NE,3,13,33649.24,2204.49,0.00,0.00,82145.93,3026.03
WEST,1,6,21590.97,856.61,0.00,0.00,22168.10,866.24
SOUTH,2,14,13864.38,536.92,398.01,479.08,54565.57,1016.00
SOUTH,1,11,26277.61,943.36,595.86,513.59,78912.10,1456.95
NE,4,14,29678.45,702.73,755.85,485.42,107977.30,1188.15
MIDWEST,3,7,21466.64,738.73,867.08,533.65,111754.66,1272.38
WEST,2,10,28134.10,928.54,82.74,87.24,36707.99,1015.78
SOUTH,7,13,85944.56,2340.57,0.00,0.00,85944.56,2340.57
SOUTH,2,8,31984.22,1175.99,0.00,0.00,31984.22,1175.99
WEST,2,14,15779.91,667.96,239.35,261.00,38417.19,928.96
WEST,4,13,47842.01,2098.71,315.11,526.93,80362.51,2625.64
MIDWEST,2,9,25422.66,1143.27,1412.67,847.66,171684.52,1990.93
NE,3,13,43108.13,1772.72,0.00,0.00,178788.01,3533.55
SOUTH,2,15,59038.16,2197.88,0.00,0.00,59038.16,2197.88
MIDWEST,1,6,16327.16,816.17,75.41,321.29,23654.59,1137.46
SOUTH,2,16,19754.07,896.86,223.60,397.99,42663.01,1294.85
MIDWEST,2,13,19663.58,886.10,602.74,511.77,81131.38,1397.87
WEST,2,13,36063.28,1017.99,0.00,0.00,37713.45,1045.52
NE,4,16,25669.29,2005.94,1210.81,1927.96,150598.03,3933.90
MIDWEST,3,16,30877.86,1581.11,0.00,0.00,118146.29,2765.17
WEST,1,4,34774.51,1243.02,0.00,0.00,34774.51,1243.02
SOUTH,2,16,96180.51,3282.24,256.28,455.41,122914.99,3737.65
SOUTH,2,13,56982.75,1759.98,0.00,0.00,56982.75,1759.98
WEST,2,14,22510.92,434.21,251.99,402.32,48378.83,836.53
WEST,2,14,18102.63,839.92,0.00,0.00,18102.63,839.92
WEST,1,14,11203.04,653.61,48.23,84.31,16173.01,737.92
SOUTH,2,15,3551.67,136.00,270.59,321.23,31548.46,457.23
WEST,3,1,13625.05,412.42,533.79,293.50,60624.77,705.92
MIDWEST,2,15,63250.76,1868.82,0.00,0.00,137584.75,3301.32
SOUTH,5,5,62952.29,2002.22,463.24,666.39,109959.87,2668.61
NE,2,15,30411.92,1152.11,778.40,1033.86,107885.10,2185.97
NE,2,11,19956.73,1308.22,894.15,1338.50,112124.93,2646.72
WEST,1,7,19016.46,558.63,0.00,0.00,19016.46,558.63
MIDWEST,4,10,51529.36,3912.96,1436.35,1979.28,200367.35,5892.24
WEST,2,13,17817.00,551.77,740.54,698.21,92307.10,1249.98
WEST,2,12,10233.15,544.83,317.14,435.66,42916.43,980.49
SOUTH,2,11,47040.39,1295.81,388.29,440.06,86613.95,1735.87
WEST,4,9,59109.37,2487.56,913.78,737.88,136695.58,3225.44
SOUTH,2,6,30499.89,1215.60,0.00,0.00,59342.55,1896.32
WEST,4,14,54285.08,1669.83,0.00,0.00,54285.08,1669.83
WEST,5,10,20757.85,495.21,230.54,234.56,43614.07,729.77
SOUTH,2,16,93986.03,3306.55,2425.92,1934.81,336987.45,5241.36
WEST,5,15,71494.38,2141.68,565.72,715.31,131676.52,2856.99
SOUTH,3,1,89853.16,3086.04,0.00,0.00,89853.16,3086.04
WEST,3,13,20103.84,1695.53,230.54,1029.00,41965.33,2724.53
NE,1,4,5187.62,258.51,383.75,578.34,44889.87,836.85
NE,2,13,3742.12,617.38,455.40,944.23,50728.97,1561.61
WEST,1,12,11252.14,613.34,371.86,511.83,45510.57,1125.17
WEST,1,7,12942.11,669.48,461.51,645.99,60582.17,1315.47
NE,3,13,49687.25,2254.28,0.00,0.00,169172.28,3923.82
SOUTH,1,16,63454.56,2224.52,56.50,72.26,69360.08,2296.78
SOUTH,2,14,65145.64,2084.41,397.68,313.95,104517.39,2397.33
WEST,2,14,19631.69,1302.34,1030.79,1263.06,120432.00,2565.40
MIDWEST,2,16,34848.53,1449.99,1004.73,683.60,136409.09,2133.59
MIDWEST,3,12,9494.09,559.71,1114.30,902.95,124521.80,1462.66
NE,2,13,6078.69,371.83,0.00,0.00,52875.92,1067.00
NE,3,7,12469.16,382.18,371.92,386.71,50837.07,768.89
MIDWEST,2,8,19053.49,863.50,814.53,544.12,102281.13,1407.62
SOUTH,1,7,20260.32,968.41,0.00,0.00,75425.21,2059.41
MIDWEST,2,3,44571.93,1724.40,0.00,0.00,44571.93,1724.40
WEST,2,7,14751.37,710.47,243.06,308.74,39413.52,1019.21
WEST,1,11,25286.36,969.81,425.69,477.10,65766.17,1446.91
SOUTH,2,14,54208.50,1713.92,0.00,0.00,70101.87,2104.83
WEST,2,12,53389.94,1482.37,286.80,360.70,79200.11,1843.07
WEST,1,5,3278.66,84.14,368.47,417.05,41274.49,501.19
SOUTH,2,16,40966.72,1529.12,0.00,0.00,40966.72,1529.12
MIDWEST,5,12,48903.91,1301.97,758.94,646.54,125503.96,1948.51
MIDWEST,4,14,36192.85,1123.50,637.84,370.34,100491.15,1493.84
NE,1,13,18916.80,1212.50,652.31,941.84,86580.65,2154.34
SOUTH,3,4,51740.75,1927.13,0.00,0.00,51740.75,1927.13
SOUTH,2,8,31834.31,1129.18,0.00,0.00,31834.31,1129.18
NE,1,12,19059.59,787.26,737.13,634.30,93878.87,1421.56
SOUTH,2,12,6835.65,433.72,0.00,0.00,6835.65,433.72
SOUTH,1,1,16957.86,592.20,0.00,0.00,16957.86,592.20
SOUTH,5,6,35726.13,1228.05,417.93,488.30,72936.52,1716.35
WEST,3,13,49908.50,1632.08,0.00,0.00,49908.50,1632.08
WEST,4,13,30533.38,925.77,725.42,827.57,108063.04,1753.34
MIDWEST,2,11,40946.51,1745.40,725.16,775.51,115202.66,2520.91
SOUTH,2,11,49684.47,1501.13,0.00,0.00,49684.47,1501.13
SOUTH,2,11,64938.35,1974.19,0.00,0.00,64938.35,1974.19
MIDWEST,4,16,39509.27,1559.00,714.83,621.30,109832.46,2180.30
NE,4,14,44983.82,1553.19,0.00,0.00,117403.91,3352.66
NE,5,4,17873.58,734.28,27.62,42.03,20713.80,776.31
SOUTH,2,13,17084.13,808.91,279.76,428.41,46002.54,1237.32
NE,2,1,11396.13,800.46,0.00,0.00,11396.13,800.46
SOUTH,7,3,94524.09,2675.42,656.22,770.14,161361.26,3445.56
WEST,3,11,21635.20,1072.49,167.10,326.17,35910.71,1398.66
NE,1,4,18971.51,959.55,0.00,0.00,18971.51,959.55
MIDWEST,3,15,39674.83,1275.83,1587.45,902.27,204698.49,2178.10
WEST,2,16,38433.09,-38.63,1060.54,617.56,134619.17,578.93
SOUTH,4,14,60281.53,1859.71,0.00,0.00,60281.53,1859.71
SOUTH,3,13,11750.63,469.03,0.00,0.00,11750.63,469.03
WEST,2,15,7638.78,438.25,89.55,138.43,16801.68,576.68
WEST,2,14,71887.29,1899.03,0.00,0.00,71887.29,1899.03
NE,4,10,12231.82,894.37,493.30,706.00,62885.46,1600.37
WEST,1,14,12357.57,1028.80,155.90,288.21,28393.41,1317.01
SOUTH,2,14,29982.13,1057.78,0.00,0.00,29982.13,1057.78
NE,2,16,43354.79,2297.14,11.26,15.58,122063.35,3774.21
NE,1,14,8181.15,638.77,143.59,221.83,22923.36,860.60
SOUTH,1,1,20409.03,663.64,0.00,0.00,20409.03,663.64
MIDWEST,2,16,30433.52,1062.40,742.41,972.75,107043.15,2035.15
NE,4,16,44843.21,1840.08,965.19,822.86,144592.34,2662.94
WEST,1,10,23983.20,1060.01,194.87,311.84,42220.47,1371.85
SOUTH,3,14,95930.60,2496.61,426.23,582.05,139339.11,3078.66
SOUTH,5,15,56339.30,1887.29,0.00,0.00,56339.30,1887.29
SOUTH,2,8,52565.64,1590.97,0.00,0.00,52565.64,1590.97
SOUTH,1,4,19832.44,629.80,12.47,18.65,21092.22,648.45
NE,1,9,15345.27,919.29,314.57,588.70,47582.24,1507.99
SOUTH,2,6,40316.73,1778.36,282.38,514.38,68908.31,2292.74
NE,1,3,20950.60,1037.71,0.00,0.00,20950.60,1037.71
WEST,2,4,8208.55,470.94,338.28,531.62,43082.88,1002.56
WEST,1,7,16093.96,670.32,0.00,0.00,16093.96,670.32
WEST,2,14,32745.21,1185.30,1893.15,1419.80,191747.75,2605.10
MIDWEST,4,12,37718.91,1322.77,964.91,910.68,134217.25,2233.45
MIDWEST,2,11,31177.38,1483.06,1018.56,631.99,134339.80,2115.05
WEST,1,14,11620.86,464.00,1294.12,836.88,118238.31,1300.88
WEST,4,8,10969.60,850.64,0.00,0.00,58260.80,2935.41
SOUTH,1,6,24468.69,1207.70,0.00,0.00,24468.69,1207.70
WEST,4,16,32530.14,1505.99,333.13,447.49,66938.08,1953.48
WEST,1,9,11881.86,468.92,59.61,47.24,16777.11,516.16
MIDWEST,5,16,60207.25,2101.78,1520.83,1103.43,216265.47,3205.21
WEST,3,15,25139.84,1753.69,487.38,628.53,72714.69,2382.22
WEST,3,14,35123.48,1126.78,0.00,0.00,35123.48,1126.78
WEST,1,14,57152.35,2134.97,149.94,322.81,71819.02,2457.78
MIDWEST,3,11,26933.19,1135.22,0.00,0.00,26933.19,1135.22
WEST,4,13,16973.69,652.08,628.66,402.75,67834.94,1054.83
